origin,sector,destination,rate
CHN,AGF,CHN,0.0
CHN,AGF,USA,0.0408994645348187
CHN,AGF,JPN,0.041724984528021154
CHN,AGF,KOR,0.07566054733719592
CHN,AGF,EU27,0.027722626987900206
CHN,AGF,ROW,0.016147658705103724
CHN,MIN,CHN,0.0
CHN,MIN,USA,0.0408994645348187
CHN,MIN,JPN,0.0008851132528434405
CHN,MIN,KOR,0.00424029936907574
CHN,MIN,EU27,0.000594660529643601
CHN,MIN,ROW,0.016147658705103724
CHN,ENR,CHN,0.0
CHN,ENR,USA,0.0408994645348187
CHN,ENR,JPN,0.004821733238202947
CHN,ENR,KOR,0.007123862201140468
CHN,ENR,EU27,0.00328343085535044
CHN,ENR,ROW,0.016147658705103724
CHN,CHM,CHN,0.0
CHN,CHM,USA,0.0408994645348187
CHN,CHM,JPN,0.012252356055367605
CHN,CHM,KOR,0.011113259203954982
CHN,CHM,EU27,0.018030962916769408
CHN,CHM,ROW,0.016147658705103724
CHN,TXL,CHN,0.0
CHN,TXL,USA,0.0408994645348187
CHN,TXL,JPN,0.04242652014189353
CHN,TXL,KOR,0.016984731591854083
CHN,TXL,EU27,0.030048872266944554
CHN,TXL,ROW,0.016147658705103724
CHN,WDP,CHN,0.0
CHN,WDP,USA,0.0408994645348187
CHN,WDP,JPN,0.007499774140024246
CHN,WDP,KOR,0.00530059338630537
CHN,WDP,EU27,0.004273983678844211
CHN,WDP,ROW,0.016147658705103724
CHN,NMM,CHN,0.0
CHN,NMM,USA,0.0408994645348187
CHN,NMM,JPN,0.006427378982801748
CHN,NMM,KOR,0.008869953267885778
CHN,NMM,EU27,0.009371667951314373
CHN,NMM,ROW,0.016147658705103724
CHN,MAC,CHN,0.0
CHN,MAC,USA,0.0408994645348187
CHN,MAC,JPN,0.0
CHN,MAC,KOR,0.01048531380073238
CHN,MAC,EU27,0.007332370565396528
CHN,MAC,ROW,0.016147658705103724
CHN,ELE,CHN,0.0
CHN,ELE,USA,0.0408994645348187
CHN,ELE,JPN,0.0004459219192022589
CHN,ELE,KOR,0.008512269086016643
CHN,ELE,EU27,0.007917672309240668
CHN,ELE,ROW,0.016147658705103724
CHN,VEH,CHN,0.0
CHN,VEH,USA,0.0408994645348187
CHN,VEH,JPN,0.0003047831651834591
CHN,VEH,KOR,0.010012139848181684
CHN,VEH,EU27,0.020928473799255467
CHN,VEH,ROW,0.016147658705103724
CHN,OTM,CHN,0.0
CHN,OTM,USA,0.0408994645348187
CHN,OTM,JPN,0.005707831017476541
CHN,OTM,KOR,0.00875003522041234
CHN,OTM,EU27,0.008081300482272345
CHN,OTM,ROW,0.016147658705103724
CHN,SRV,CHN,0.0
CHN,SRV,USA,0.0
CHN,SRV,JPN,0.0
CHN,SRV,KOR,0.0
CHN,SRV,EU27,0.0
CHN,SRV,ROW,0.0
USA,AGF,CHN,0.04019253231648928
USA,AGF,USA,0.0
USA,AGF,JPN,0.041724984528021154
USA,AGF,KOR,0.07566054733719592
USA,AGF,EU27,0.027722626987900206
USA,AGF,ROW,0.016147658705103724
USA,MIN,CHN,0.009892955493558578
USA,MIN,USA,0.0
USA,MIN,JPN,0.0008851132528434405
USA,MIN,KOR,0.00424029936907574
USA,MIN,EU27,0.000594660529643601
USA,MIN,ROW,0.016147658705103724
USA,ENR,CHN,0.017577193386922277
USA,ENR,USA,0.0
USA,ENR,JPN,0.004821733238202947
USA,ENR,KOR,0.007123862201140468
USA,ENR,EU27,0.00328343085535044
USA,ENR,ROW,0.016147658705103724
USA,CHM,CHN,0.02274913126158796
USA,CHM,USA,0.0
USA,CHM,JPN,0.012252356055367605
USA,CHM,KOR,0.011113259203954982
USA,CHM,EU27,0.018030962916769408
USA,CHM,ROW,0.016147658705103724
USA,TXL,CHN,0.025505086432706346
USA,TXL,USA,0.0
USA,TXL,JPN,0.04242652014189353
USA,TXL,KOR,0.016984731591854083
USA,TXL,EU27,0.030048872266944554
USA,TXL,ROW,0.016147658705103724
USA,WDP,CHN,0.01246642425232128
USA,WDP,USA,0.0
USA,WDP,JPN,0.007499774140024246
USA,WDP,KOR,0.00530059338630537
USA,WDP,EU27,0.004273983678844211
USA,WDP,ROW,0.016147658705103724
USA,NMM,CHN,0.023422483460154814
USA,NMM,USA,0.0
USA,NMM,JPN,0.006427378982801748
USA,NMM,KOR,0.008869953267885778
USA,NMM,EU27,0.009371667951314373
USA,NMM,ROW,0.016147658705103724
USA,MAC,CHN,0.02353359581699271
USA,MAC,USA,0.0
USA,MAC,JPN,0.0
USA,MAC,KOR,0.01048531380073238
USA,MAC,EU27,0.007332370565396528
USA,MAC,ROW,0.016147658705103724
USA,ELE,CHN,0.017942595179993658
USA,ELE,USA,0.0
USA,ELE,JPN,0.0004459219192022589
USA,ELE,KOR,0.008512269086016643
USA,ELE,EU27,0.007917672309240668
USA,ELE,ROW,0.016147658705103724
USA,VEH,CHN,0.031156061092220997
USA,VEH,USA,0.0
USA,VEH,JPN,0.0003047831651834591
USA,VEH,KOR,0.010012139848181684
USA,VEH,EU27,0.020928473799255467
USA,VEH,ROW,0.016147658705103724
USA,OTM,CHN,0.021461327734631795
USA,OTM,USA,0.0
USA,OTM,JPN,0.005707831017476541
USA,OTM,KOR,0.00875003522041234
USA,OTM,EU27,0.008081300482272345
USA,OTM,ROW,0.016147658705103724
USA,SRV,CHN,0.0
USA,SRV,USA,0.0
USA,SRV,JPN,0.0
USA,SRV,KOR,0.0
USA,SRV,EU27,0.0
USA,SRV,ROW,0.0
JPN,AGF,CHN,0.04019253231648928
JPN,AGF,USA,0.0408994645348187
JPN,AGF,JPN,0.0
JPN,AGF,KOR,0.07566054733719592
JPN,AGF,EU27,0.027722626987900206
JPN,AGF,ROW,0.016147658705103724
JPN,MIN,CHN,0.009892955493558578
JPN,MIN,USA,0.0408994645348187
JPN,MIN,JPN,0.0
JPN,MIN,KOR,0.00424029936907574
JPN,MIN,EU27,0.000594660529643601
JPN,MIN,ROW,0.016147658705103724
JPN,ENR,CHN,0.017577193386922277
JPN,ENR,USA,0.0408994645348187
JPN,ENR,JPN,0.0
JPN,ENR,KOR,0.007123862201140468
JPN,ENR,EU27,0.00328343085535044
JPN,ENR,ROW,0.016147658705103724
JPN,CHM,CHN,0.02274913126158796
JPN,CHM,USA,0.0408994645348187
JPN,CHM,JPN,0.0
JPN,CHM,KOR,0.011113259203954982
