region,sector,Y0,labor,capital
CHN,prim,1898997.706,1409287.7049999998,489710.00100000016
CHN,manu,4713585.126,1736214.038,2977371.0880000005
USA,prim,769610.3239999999,223296.01300000004,546314.3109999999
USA,manu,2832696.5470000003,1368795.393,1463901.1540000003
ROW,prim,5520065.097,1068485.834,4451579.263
ROW,manu,8562021.107,3923461.178,4638559.9290000005
