region,welfare_pct,EV_mUSD
CHN,-0.07347303199117805,-10129.883431407008
USA,0.040521907743751306,9109.306082132807
EU27,0.15129507982369894,17904.03955752917
JPN,0.12233286467593363,4051.1291824809764
KOR,0.14019893823293827,1987.7165876700444
IND,0.027313979470755534,799.7435609845559
CAN,0.11727611524834369,1883.172483798387
MEX,0.014153203733080488,189.23095579227765
BRA,0.12055556973864512,1691.0910230252484
ZAF,0.1384487582327898,411.4307873684493
RUS,0.25833416885094884,3697.5773673943218
SAU,0.3736212453821386,2444.056789669969
AUS,0.21390705320818437,2466.433719464149
ROW,0.19154333139159707,23484.001926166835
