destination,pct_change
USA,-59.15063155333415
EU27,2.4395045252420866
JPN,2.0006303375826873
KOR,1.960984937581145
IND,1.4530402530595232
CAN,2.4992949472788517
MEX,2.184013536209606
BRA,1.6490381889339822
ZAF,1.529871200663191
RUS,1.8284022591908755
SAU,2.0867381769453797
AUS,1.6867667438738687
ROW,2.0405391677899454
