region,sector,C0,G0,I0
CHN,prim,597534.3940000001,9.122,45707.946
CHN,manu,2097926.7169999997,4775.981,2088363.583
CHN,serv,3555374.508,2858515.5719999997,5413745.831
USA,prim,253952.63899999997,1.467,84388.81300000001
USA,manu,2955650.169,1739.7730000000001,1616658.745
USA,serv,13593864.555,3568462.1640000003,4015458.6680000005
ROW,prim,1588805.666,16578.363999999998,187810.815
ROW,manu,7577740.7370000025,157999.84999999998,3624862.898
ROW,serv,18040390.925999995,9188451.993,8719195.739
