region,sector,Y0,labor,capital
CHN,prim,4003374.851,1409287.7049999998,498439.6984653624
CHN,manu,20296192.683000002,1736214.038,3112070.126030612
CHN,serv,20795352.361,5513075.98,4749717.151546126
USA,prim,1569447.013,223296.01300000004,559545.9075617811
USA,manu,7339325.653,1368795.393,1500084.2870051397
USA,serv,36390864.257,12190389.008,9189075.936728293
ROW,prim,7170071.561000003,1068485.834,3421888.320057149
ROW,manu,28733715.56000001,3923461.178,4412588.053460848
ROW,serv,66120339.467000015,19393343.827,17195717.564148255
