input,region,output,value
AGF,CHN,AGF,0.4735885229281008
MIN,CHN,AGF,0.0004068269274063027
ENR,CHN,AGF,0.005991775337197026
CHM,CHN,AGF,0.021560535237993065
TXL,CHN,AGF,0.0018625841504140183
WDP,CHN,AGF,0.00362923451139236
NMM,CHN,AGF,0.0037077114440880275
MAC,CHN,AGF,0.0012890874712142382
ELE,CHN,AGF,0.0004627415302220633
VEH,CHN,AGF,0.0003724369798552554
OTM,CHN,AGF,0.0004904818740472327
SRV,CHN,AGF,0.09269807238621523
AGF,CHN,MIN,0.0049878693601624
MIN,CHN,MIN,0.11852249345654216
ENR,CHN,MIN,0.05194169148060675
CHM,CHN,MIN,0.04298270080998425
TXL,CHN,MIN,0.008684687279301214
WDP,CHN,MIN,0.0036730938903583
NMM,CHN,MIN,0.032144506998162736
MAC,CHN,MIN,0.04331457995593664
ELE,CHN,MIN,0.007547082308526101
VEH,CHN,MIN,0.0026341333968846557
OTM,CHN,MIN,0.0033277637978556744
SRV,CHN,MIN,0.28368362724851104
AGF,CHN,ENR,0.0013755924887403628
MIN,CHN,ENR,0.033269469837895645
ENR,CHN,ENR,0.4476019634614857
CHM,CHN,ENR,0.022679053357698913
TXL,CHN,ENR,0.0017711688721995353
WDP,CHN,ENR,0.0010628912328600943
NMM,CHN,ENR,0.011055538386708478
MAC,CHN,ENR,0.011219131813940875
ELE,CHN,ENR,0.0020614228926755505
VEH,CHN,ENR,0.000689136718405388
OTM,CHN,ENR,0.0013799269864243806
SRV,CHN,ENR,0.14306910649965696
AGF,CHN,CHM,0.042307630264141166
MIN,CHN,CHM,0.008624673313576834
ENR,CHN,CHM,0.05010280153393817
CHM,CHN,CHM,0.4176794417009346
TXL,CHN,CHM,0.013393482862294758
WDP,CHN,CHM,0.01103908658258434
NMM,CHN,CHM,0.02067666059952066
MAC,CHN,CHM,0.004168636873710944
ELE,CHN,CHM,0.003357998912752335
VEH,CHN,CHM,0.0006182844022897304
OTM,CHN,CHM,0.0013411526456117105
SRV,CHN,CHM,0.1810336605105787
AGF,CHN,TXL,0.05624784335579249
MIN,CHN,TXL,0.0005351735112565154
ENR,CHN,TXL,0.002054170786096513
CHM,CHN,TXL,0.04863234579498414
TXL,CHN,TXL,0.4983172852981381
WDP,CHN,TXL,0.004496206875641917
NMM,CHN,TXL,0.0030213998234749242
MAC,CHN,TXL,0.0014346899977690558
ELE,CHN,TXL,0.0005830342232123521
VEH,CHN,TXL,7.704754229829698e-05
OTM,CHN,TXL,0.0012899322899000436
SRV,CHN,TXL,0.12663490704390928
AGF,CHN,WDP,0.11579778348638457
MIN,CHN,WDP,0.002167452666991731
ENR,CHN,WDP,0.010628329991573135
CHM,CHN,WDP,0.07816147045253316
TXL,CHN,WDP,0.019606886643622236
WDP,CHN,WDP,0.3020458015498322
NMM,CHN,WDP,0.012648125788367708
MAC,CHN,WDP,0.005846513379647789
ELE,CHN,WDP,0.002949363500990608
VEH,CHN,WDP,0.00043001670649956135
OTM,CHN,WDP,0.0017249566861798132
SRV,CHN,WDP,0.17966625307165407
AGF,CHN,NMM,0.0019475502764255855
MIN,CHN,NMM,0.13012782793983715
ENR,CHN,NMM,0.02328290774402579
CHM,CHN,NMM,0.031946212762560926
TXL,CHN,NMM,0.006176829677389285
WDP,CHN,NMM,0.007945449956602978
NMM,CHN,NMM,0.35398369902184756
MAC,CHN,NMM,0.011752461666141824
ELE,CHN,NMM,0.005768034135935779
VEH,CHN,NMM,0.0015871711975453992
OTM,CHN,NMM,0.001553462768062225
SRV,CHN,NMM,0.1691098272745441
AGF,CHN,MAC,0.0028574623736222974
MIN,CHN,MAC,0.0010328060888893005
ENR,CHN,MAC,0.004175024644402505
CHM,CHN,MAC,0.037007654999293906
TXL,CHN,MAC,0.006872417248286443
WDP,CHN,MAC,0.006590967396277202
NMM,CHN,MAC,0.23283298357405402
MAC,CHN,MAC,0.1952754637329176
ELE,CHN,MAC,0.07815876675816467
VEH,CHN,MAC,0.008883217787326638
OTM,CHN,MAC,0.002173246256813153
SRV,CHN,MAC,0.15349589554997056
AGF,CHN,ELE,0.001617774842031257
MIN,CHN,ELE,0.0006499571365277694
ENR,CHN,ELE,0.0034912854167936567
CHM,CHN,ELE,0.04609487785980082
TXL,CHN,ELE,0.004231892018159652
WDP,CHN,ELE,0.007430411327199929
NMM,CHN,ELE,0.10888777307824529
MAC,CHN,ELE,0.018119234318708915
ELE,CHN,ELE,0.44022863886883307
VEH,CHN,ELE,0.0026225920197423566
OTM,CHN,ELE,0.0023117890963589988
SRV,CHN,ELE,0.1725972533267208
AGF,CHN,VEH,0.0010207200942728791
MIN,CHN,VEH,0.0004533406842196422
ENR,CHN,VEH,0.00460117566074279
CHM,CHN,VEH,0.05171670397830703
TXL,CHN,VEH,0.018185178436140426
WDP,CHN,VEH,0.005436879516035515
NMM,CHN,VEH,0.12914499252447667
MAC,CHN,VEH,0.034391002895713896
ELE,CHN,VEH,0.04956181988003643
VEH,CHN,VEH,0.3286017110439149
OTM,CHN,VEH,0.0017314379365981952
SRV,CHN,VEH,0.1452174719990296
AGF,CHN,OTM,0.024932261424619545
MIN,CHN,OTM,0.0016826062300690427
ENR,CHN,OTM,0.009084777840132173
CHM,CHN,OTM,0.1033410140944462
TXL,CHN,OTM,0.10691152045769389
WDP,CHN,OTM,0.08704931460935082
NMM,CHN,OTM,0.11189446480151051
MAC,CHN,OTM,0.022265727108313735
ELE,CHN,OTM,0.029763388783301068
VEH,CHN,OTM,0.004286806839260809
OTM,CHN,OTM,0.03991647171930292
SRV,CHN,OTM,0.1782945470631726
AGF,CHN,SRV,0.031243010772567758
MIN,CHN,SRV,0.0170354420490676
ENR,CHN,SRV,0.03140958154412467
CHM,CHN,SRV,0.028089903626276808
TXL,CHN,SRV,0.008449965914052756
