region,sector,C0,G0,I0
PHL,TXL,4676.3,66.232,61.373000000000005
PHL,WDP,964.242,1709.3890000000001,32.33
PHL,NMM,1005.527,1694.8980000000001,1114.649
PHL,MAC,319.26000000000005,41.237,4722.142000000001
PHL,ELE,5169.755999999999,243.031,6741.574
PHL,VEH,2947.9120000000003,630.404,7577.768
PHL,OTM,2236.744,62.138,550.252
PHL,SRV,149930.901,47043.515999999996,69175.834
IND,AGF,640193.387,105.467,6733.847
IND,MIN,1277.975,89.449,5810.846
IND,ENR,43368.418999999994,3.5549999999999997,634.3679999999999
IND,CHM,86669.93,248.62,18579.309
IND,TXL,106136.279,229.085,15112.977
IND,WDP,9004.221000000001,64.348,1939.977
IND,NMM,11294.714,1387.251,11355.773000000001
IND,MAC,4197.753,11.030000000000001,69542.421
IND,ELE,8993.483,3.9219999999999997,81322.991
IND,VEH,37652.416,4.152,82493.341
IND,OTM,24420.542,1591.028,18506.249
IND,SRV,1003417.6830000001,344215.206,639293.374
MEX,AGF,181429.98199999996,73.19800000000001,4901.491
MEX,MIN,86.831,0.821,5728.969
MEX,ENR,26654.743000000002,0.762,64.731
MEX,CHM,52018.929,28.692,623.198
MEX,TXL,16029.847000000002,1.44,79.533
MEX,WDP,9099.61,202.50300000000001,78.57900000000001
MEX,NMM,15936.896,33.268,5435.053
MEX,MAC,2142.505,5.083,28317.425000000003
MEX,ELE,36350.039,19.195999999999998,29850.372000000003
MEX,VEH,53070.728,31.824999999999996,28317.688000000002
MEX,OTM,11666.792,157.38,3293.048
MEX,SRV,610920.7,159924.705,214908.836
ROW,AGF,1759683.115,6585.221999999998,59063.98100000001
ROW,MIN,12809.545000000002,835.4290000000003,35533.418999999994
ROW,ENR,260004.62900000007,1216.465,21839.775000000005
ROW,CHM,327298.96899999987,30330.975,19704.634000000005
ROW,TXL,309949.10099999997,719.047,10368.668000000001
ROW,WDP,72991.47,296.99099999999993,4999.974999999999
ROW,NMM,77817.69900000004,655.1859999999999,93502.344
ROW,MAC,29073.072000000004,230.23300000000006,316808.14599999995
ROW,ELE,233707.637,1152.9550000000004,307382.2829999999
ROW,VEH,293958.725,655.1,344287.6950000001
ROW,OTM,145882.70099999997,2958.4219999999996,90798.16599999997
ROW,SRV,7715917.261999999,3662147.6750000003,3411024.9770000004
