region,net_foreign_transfer
CHN,-554825.637000001
USA,963698.6259365957
JPN,173950.57794754603
KOR,10322.275999999372
EU27,233695.47776592383
VNM,-2279.7783230511122
THA,22014.015024207823
MYS,11152.871088636952
IDN,-43710.264115870465
SGP,-91610.06607649382
PHL,77301.74769751499
IND,121033.44399999955
MEX,56996.172314796946
ROW,-977739.4622598048
