origin,sector,destination,value
CHN,OTM,KOR,5997.709719180389
CHN,OTM,EU27,1.0
CHN,OTM,VNM,4671.367232762418
CHN,OTM,THA,3907.2970063964863
CHN,OTM,MYS,5628.398692154063
CHN,OTM,IDN,2582.0836383859196
CHN,OTM,SGP,4615.83387660842
CHN,OTM,PHL,3896.1998800462243
CHN,OTM,IND,3755.1385427589685
CHN,OTM,MEX,3713.931238122863
CHN,OTM,ROW,99714.03929613954
CHN,SRV,CHN,20237825.339
CHN,SRV,USA,62257.91507047815
CHN,SRV,JPN,24572.9775686245
CHN,SRV,KOR,29569.472232180524
CHN,SRV,EU27,97387.75980632643
CHN,SRV,VNM,6836.071722350921
CHN,SRV,THA,8374.37261707126
CHN,SRV,MYS,5492.657694859752
CHN,SRV,IDN,5915.061611894356
CHN,SRV,SGP,39334.23594087225
CHN,SRV,PHL,3160.3611881239967
CHN,SRV,IND,10831.372347553264
CHN,SRV,MEX,3636.028632812157
CHN,SRV,ROW,260157.7355668523
USA,AGF,CHN,26442.709546262296
USA,AGF,USA,1652752.1799999997
USA,AGF,JPN,10227.841642656236
USA,AGF,KOR,6378.090968524549
USA,AGF,EU27,1.0
USA,AGF,VNM,2443.8466934725902
USA,AGF,THA,1080.5426277660254
USA,AGF,MYS,730.5821175656802
USA,AGF,IDN,2280.489161926904
USA,AGF,SGP,792.2715244956185
USA,AGF,PHL,2649.2883325026055
USA,AGF,IND,1383.5348677078623
USA,AGF,MEX,19279.80985491779
USA,AGF,ROW,62587.447662201834
USA,MIN,CHN,2596.954579077704
USA,MIN,USA,164072.24
USA,MIN,JPN,2021.0076662491776
USA,MIN,KOR,601.4952671406298
USA,MIN,EU27,1.0
USA,MIN,VNM,99.42056447121385
USA,MIN,THA,319.22975512988234
USA,MIN,MYS,123.7469409542831
USA,MIN,IDN,233.95756925844134
USA,MIN,SGP,118.43446318444214
USA,MIN,PHL,98.42454940748195
USA,MIN,IND,560.44879062339
USA,MIN,MEX,3667.4399373331476
USA,MIN,ROW,17000.965917170208
USA,ENR,CHN,10957.623935686195
USA,ENR,USA,1287359.305
USA,ENR,JPN,10893.267884957111
USA,ENR,KOR,16130.982844301707
USA,ENR,EU27,1.0
USA,ENR,VNM,203.86171003047554
USA,ENR,THA,2088.5696088712775
USA,ENR,MYS,177.12450625562917
USA,ENR,IDN,1669.5376572137866
USA,ENR,SGP,9848.619589731385
