origin,destination,sector,is_international,benchmark_quantity,counterfactual_quantity,quantity_pct_change,benchmark_purchaser_price,counterfactual_purchaser_price,benchmark_tariff_rate,counterfactual_tariff_rate
A,A,food,False,45.00000000000002,45.22114328383059,0.49142951962348747,1.0,1.0012211573565348,0.0,0.0
A,A,manufacturing,False,25.00000000000001,27.026344239978915,8.105376959915622,1.0,1.0020360906070223,0.0,0.0
A,B,food,True,15.000000000000007,14.318897903359808,-4.540680644267992,1.0,1.0012211573565348,0.0,0.0
A,B,manufacturing,True,15.000000000000007,13.433427473780121,-10.443816841465903,1.0,1.0020360906070223,0.0,0.0
B,A,food,True,15.000000000000007,16.00495584550716,6.699705636714337,1.0,0.9716568569506288,0.0,0.0
B,A,manufacturing,True,15.000000000000007,12.62847485377983,-15.810167641467842,1.0,1.0666704809890684,0.0,0.1
B,B,food,False,15.000000000000007,15.203507389974105,1.356715933160646,1.0,0.9716568569506288,0.0,0.0
B,B,manufacturing,False,55.00000000000002,56.16184353648452,2.1124427936081824,1.0,0.9697004372627894,0.0,0.0
