region,benchmark_income,counterfactual_income,nominal_income_pct_change,cost_of_living_pct_change,welfare_pct_change,equivalent_variation,tariff_revenue,exports_at_producer_prices,imports_at_producer_prices,fixed_net_foreign_transfer,external_balance_residual_M_minus_X_minus_B
A,100.00000000000004,101.37948418016941,1.379484180169377,0.5852145860360425,0.7896484561892958,0.7896484561892961,1.2245837587672441,27.797162680151565,27.797162680151523,0.0,-4.263256414560601e-14
B,100.00000000000004,97.02991912013286,-2.9700808798671763,-2.074921567006449,-0.9141267254365926,-0.914126725436593,0.0,27.797162680151523,27.797162680151565,0.0,4.263256414560601e-14
