region,welfare_pct,EV_mUSD
CHN,-0.07347303170025521,-10129.883391296857
USA,0.04052190772663167,9109.30607828432
EU27,0.15129507997997393,17904.039576022522
JPN,0.12233286456189152,4051.1291787044006
KOR,0.14019893824981366,1987.7165879093006
IND,0.02731397936823754,799.7435579828656
CAN,0.11727611548710826,1883.172487632372
MEX,0.014153203446687357,189.23095196314844
BRA,0.1205555699013372,1691.0910253074087
ZAF,0.13844875839219561,411.43078784215857
RUS,0.25833416917564467,3697.577372041744
SAU,0.3736212458088861,2444.0567924615534
AUS,0.2139070535150278,2466.4337230021765
ROW,0.19154333162334503,23484.00195458009
