region,sector,C0,G0,I0
RUS,MIN,1864.4640000000002,18.487000000000002,15867.949999999999
RUS,ENR,24684.428000000004,71.929,2213.122
RUS,CHM,31829.777000000002,1020.3720000000001,855.109
RUS,TXL,22155.332000000002,5.539,203.712
RUS,WDP,5561.173999999999,16.166,205.101
RUS,NMM,6469.27,27.467999999999996,12189.225999999999
RUS,MAC,1418.286,9.266,32447.439
RUS,ELE,20018.821,29.019,28702.837999999996
RUS,VEH,30921.414999999994,12.938,49041.592000000004
RUS,OTM,12149.856,165.38299999999998,7534.507
RUS,SRV,612757.132,392660.627,325469.057
SAU,AGF,53901.087,969.252,5770.755
SAU,MIN,20.137999999999998,0.335,237.87800000000001
SAU,ENR,19055.868000000002,43.074,1144.732
SAU,CHM,11660.39,1098.897,1321.7420000000002
SAU,TXL,10583.074,140.038,1026.366
SAU,WDP,4864.148,12.052999999999999,166.417
SAU,NMM,1660.404,8.172,11395.503
SAU,MAC,880.0800000000002,3.1319999999999997,12047.779999999999
SAU,ELE,1684.694,4.478000000000001,17739.514
SAU,VEH,4378.372,3.611,20391.682
SAU,OTM,7860.465,5.869,6895.043
SAU,SRV,251534.24699999997,223084.63100000002,207921.211
AUS,AGF,72897.086,672.3449999999999,4037.48
AUS,MIN,539.258,344.70300000000003,3939.021
AUS,ENR,12032.998000000001,16.217,841.4100000000001
AUS,CHM,19419.802,5093.796,1660.9049999999997
AUS,TXL,14851.491,8.695,395.793
AUS,WDP,3480.13,26.009,546.373
AUS,NMM,5487.701999999999,109.577,3963.8810000000003
AUS,MAC,2621.5060000000003,95.938,14565.619999999999
AUS,ELE,19158.662,99.63199999999999,11395.508
AUS,VEH,17787.454,18.676,23377.32
AUS,OTM,7876.513,345.631,3337.071
AUS,SRV,591743.642,359775.73,317071.29600000003
ROW,AGF,1627968.9900000002,12306.264000000001,67702.398
ROW,MIN,9948.681,423.57599999999996,13861.953
ROW,ENR,203712.10300000006,2037.4530000000004,10350.798
ROW,CHM,247531.879,24680.938000000002,15859.603999999998
ROW,TXL,276300.612,842.6329999999999,10268.058
ROW,WDP,57308.09099999999,2094.0140000000006,3666.3080000000004
ROW,NMM,60394.31900000003,2269.966000000001,76444.49299999999
ROW,MAC,22809.050999999996,229.317,252418.57700000005
ROW,ELE,205933.601,2689.119,300831.34899999993
ROW,VEH,201044.78,1292.7559999999999,254338.4920000001
ROW,OTM,116861.63499999998,2734.421,68552.33799999999
ROW,SRV,5582797.909999999,2178705.7460000003,2573494.1570000006
