region,net_foreign_transfer
CHN,-554802.623179527
USA,964225.5156459576
EU27,241049.5417377008
JPN,173972.61079871305
KOR,10345.796427655616
IND,120923.44399999967
CAN,1638.5776111079613
MEX,56642.07607374224
BRA,-10552.349286396755
ZAF,-5720.455707538131
RUS,-242794.22977913858
SAU,-186745.67798654974
AUS,-93350.18185869168
ROW,-474832.0444970289
