origin,sector,destination,value
CHN,OTM,EU27,1.0
CHN,OTM,JPN,9277.533873002436
CHN,OTM,KOR,5997.709719180389
CHN,OTM,IND,3755.1385427589685
CHN,OTM,CAN,4816.811124764349
CHN,OTM,MEX,3713.931238122863
CHN,OTM,BRA,1904.8562881470452
CHN,OTM,ZAF,1490.2775575982484
CHN,OTM,RUS,2526.577339283886
CHN,OTM,SAU,3177.1963338387054
CHN,OTM,AUS,6748.343328157229
CHN,OTM,ROW,104351.1576507036
CHN,SRV,CHN,20237825.339
CHN,SRV,USA,62257.91507047814
CHN,SRV,EU27,97387.75980632642
CHN,SRV,JPN,24572.977568624494
CHN,SRV,KOR,29569.472232180517
CHN,SRV,IND,10831.372347553262
CHN,SRV,CAN,5935.066592825738
CHN,SRV,MEX,3636.0286328121565
CHN,SRV,BRA,1600.5143186870448
CHN,SRV,ZAF,1693.2206470694948
CHN,SRV,RUS,5266.105513993178
CHN,SRV,SAU,6488.769356969985
CHN,SRV,AUS,8077.0862597536
CHN,SRV,ROW,300209.7336527258
USA,AGF,CHN,26442.709546262296
USA,AGF,USA,1652752.1799999997
USA,AGF,EU27,1.0
USA,AGF,JPN,10227.841642656236
USA,AGF,KOR,6378.090968524549
USA,AGF,IND,1383.5348677078623
USA,AGF,CAN,21438.97236546987
USA,AGF,MEX,19279.80985491779
USA,AGF,BRA,444.4568983114636
USA,AGF,ZAF,229.9321933949679
USA,AGF,RUS,99.2912033649962
USA,AGF,SAU,1027.1604305987464
USA,AGF,AUS,1002.6175795176015
USA,AGF,ROW,48322.03744927363
USA,MIN,CHN,2596.954579077704
USA,MIN,USA,164072.24
USA,MIN,EU27,1.0
USA,MIN,JPN,2021.0076662491776
USA,MIN,KOR,601.4952671406298
USA,MIN,IND,560.44879062339
USA,MIN,CAN,6619.000782059292
USA,MIN,MEX,3667.4399373331476
USA,MIN,BRA,2101.3642399378323
USA,MIN,ZAF,77.86905176082978
USA,MIN,RUS,11.975287341352765
USA,MIN,SAU,76.35185502557246
USA,MIN,AUS,199.5006321294236
USA,MIN,ROW,8908.117911321644
USA,ENR,CHN,10957.623935686195
USA,ENR,USA,1287359.305
USA,ENR,EU27,1.0
USA,ENR,JPN,10893.267884957111
USA,ENR,KOR,16130.982844301707
USA,ENR,IND,13256.336547773928
USA,ENR,CAN,28434.43376298249
USA,ENR,MEX,45531.07815959525
USA,ENR,BRA,13451.48556972629
USA,ENR,ZAF,514.9447483303416
USA,ENR,RUS,2.5798082604600547
USA,ENR,SAU,285.2215572548511
USA,ENR,AUS,985.0833258110448
USA,ENR,ROW,167336.34585532034
USA,CHM,CHN,18159.470179083582
USA,CHM,USA,1092577.275
USA,CHM,EU27,1.0
USA,CHM,JPN,10710.535390590485
USA,CHM,KOR,6438.2184275520995
USA,CHM,IND,4108.391975065759
USA,CHM,CAN,32719.751376338467
USA,CHM,MEX,28533.916321159773
USA,CHM,BRA,8928.37757898334
USA,CHM,ZAF,784.8817115135915
USA,CHM,RUS,294.4209873121371
USA,CHM,SAU,1077.412816221663
USA,CHM,AUS,3561.993010143642
USA,CHM,ROW,93999.35522603548
USA,TXL,CHN,547.9729720104015
USA,TXL,USA,57537.937000000005
USA,TXL,EU27,1.0
USA,TXL,JPN,318.0995903219196
USA,TXL,KOR,184.49779769840455
USA,TXL,IND,72.82614059598305
USA,TXL,CAN,3781.012397058556
USA,TXL,MEX,3906.64820756408
USA,TXL,BRA,122.18076867234333
USA,TXL,ZAF,13.385009752291564
USA,TXL,RUS,17.340290708331395
USA,TXL,SAU,47.32644593380209
USA,TXL,AUS,191.42402634689935
USA,TXL,ROW,5580.680353336988
USA,WDP,CHN,3718.0069752880145
