region,benchmark_income,counterfactual_income,nominal_income_pct_change,cost_of_living_pct_change,welfare_pct_change,equivalent_variation,tariff_revenue,exports_at_producer_prices,imports_at_producer_prices,fixed_net_foreign_transfer,external_balance_residual_M_minus_X_minus_B
A,100.00000000000004,100.69564464256887,0.6956446425688156,0.3595073532729698,0.33493317988559923,0.3349331798855994,0.6056325849742289,32.88448659855497,32.884486598554986,0.0,1.4210854715202004e-14
B,100.00000000000004,98.18548128272921,-1.81451871727083,-1.2884479399718707,-0.5329373982277619,-0.5329373982277621,0.0,34.60499384815682,34.604993848156795,0.0,-2.842170943040401e-14
ROW,199.99999999999991,198.72120476516858,-0.6393976174156712,-0.6930772674229035,0.054054287989369065,0.10810857597873809,0.0,37.987984878426474,37.98798487842649,0.0,1.4210854715202004e-14
