origin,destination,sector,is_international,benchmark_quantity,counterfactual_quantity,quantity_pct_change,benchmark_purchaser_price,counterfactual_purchaser_price,benchmark_tariff_rate,counterfactual_tariff_rate
A,A,food,False,42.00000000000002,42.10838448852041,0.25805830600091895,1.0,1.0007100331501189,0.0,0.0
A,A,manufacturing,False,24.00000000000001,25.037606392048673,4.323359966869433,1.0,1.0011836686431486,0.0,0.0
A,B,food,True,8.000000000000004,7.767488530747074,-2.906393365661619,1.0,1.0007100331501189,0.0,0.0
A,B,manufacturing,True,8.000000000000004,7.488530521869716,-6.393368476628591,1.0,1.0011836686431486,0.0,0.0
A,ROW,food,True,9.999999999999996,9.85668474059504,-1.4331525940495582,1.0,1.0007100331501189,0.0,0.0
A,ROW,manufacturing,True,7.999999999999997,7.741242053836898,-3.234474327038739,1.0,1.0011836686431486,0.0,0.0
B,A,food,True,8.000000000000004,8.320040980996923,4.0005122624614975,1.0,0.982539818191462,0.0,0.0
B,A,manufacturing,True,8.000000000000004,6.170121246534251,-22.873484418321897,1.0,1.079712726627298,0.0,0.1
B,B,food,False,14.000000000000007,14.100511217947071,0.7179372710504506,1.0,0.982539818191462,0.0,0.0
B,B,manufacturing,False,50.00000000000002,50.660504157948786,1.3210083158975205,1.0,0.9815570242066344,0.0,0.0
B,ROW,food,True,7.9999999999999964,8.17969371880496,2.246171485062054,1.0,0.982539818191462,0.0,0.0
B,ROW,manufacturing,True,11.999999999999996,12.568828261644311,4.7402355137026175,1.0,0.9815570242066344,0.0,0.0
ROW,A,food,True,10.000000000000004,10.169028194049668,1.6902819404966518,1.0,0.9936379565978938,0.0,0.0
ROW,A,manufacturing,True,8.000000000000004,8.604297342554785,7.553716781934772,1.0,0.9935798892484811,0.0,0.0
ROW,B,food,True,8.000000000000004,7.878449992023891,-1.5193750997014033,1.0,0.9936379565978938,0.0,0.0
ROW,B,manufacturing,True,12.000000000000005,11.580617578620426,-3.4948535114964874,1.0,0.9935798892484811,0.0,0.0
ROW,ROW,food,False,71.99999999999997,71.98193625409445,-0.025088535979889137,1.0,0.9936379565978938,0.0,0.0
ROW,ROW,manufacturing,False,89.99999999999997,89.78566977914524,-0.23814468983859305,1.0,0.9935798892484811,0.0,0.0
